to characterize	verb	to characterize (verb) ||| caractériser
percentile	noun	percentile (noun) ||| centile
previous	adj	previous (adj) ||| antérieur
to register	verb	to register (verb) ||| inscrire
bohemian	noun	bohemian (noun) ||| bohémienne
security guard	noun	security guard (noun) ||| gardiennage
conviction	noun	conviction (noun) ||| culpabilité
abolition	noun	abolition (noun) ||| dissolution
to put on	verb	to put on (verb) ||| chausser
to budget	verb	to budget (verb) ||| budgétiser
to die out	verb	to die out (verb) ||| se mourir
schema	noun	schema (noun) ||| schéma
macroeconomic	adj	macroeconomic (adj) ||| macroéconomique
unstable	adj	unstable (adj) ||| instable
to view	verb	to view (verb) ||| afficher
to joggle	verb	to joggle (verb) ||| cahoter
extenuating	adj	extenuating (adj) ||| atténuant
euro group	noun	euro group (noun) ||| Eurogroupe
liquor	noun	liquor (noun) ||| liqueur
dissuasive	adj	dissuasive (adj) ||| dissuasif
stabilizer	noun	stabilizer (noun) ||| stabilisateur
red poppy	noun	red poppy (noun) ||| coquelicot
predictability	noun	predictability (noun) ||| prévisibilité
schoolmistress	noun	schoolmistress (noun) ||| maîtresse
extreme	adj	extreme (adj) ||| extrême
bin	noun	bin (noun) ||| compartiment
lecherous	adj	lecherous (adj) ||| libidineux
French	noun	French (noun) ||| français
milliner	noun	milliner (noun) ||| modiste
to bounce	verb	to bounce (verb) ||| rebondir
to alienate	verb	to alienate (verb) ||| éloigner
CD	noun	CD (noun) ||| CD
coil	noun	coil (noun) ||| bobine
banal	adj	banal (adj) ||| banal
obstetrics	noun	obstetrics (noun) ||| obstétriciens
antics	noun	antics (noun) ||| cabriole
irreverent	adj	irreverent (adj) ||| irrévérencieux
in decline	adj	in decline (adj) ||| en déclin
riding	noun	riding (noun) ||| comté
ridge	noun	ridge (noun) ||| crête
inevitable	adj	inevitable (adj) ||| inévitable
independent	noun	independent (noun) ||| abstraction
to pet	verb	to pet (verb) ||| câliner
lot	noun	lot (noun) ||| lot
notary public	noun	notary public (noun) ||| notaire
former dictator	noun	former dictator (noun) ||| ex-dictateur
flu-like	adj	flu-like (adj) ||| pseudo-grippaux
submariner	noun	submariner (noun) ||| marinier
crate	noun	crate (noun) ||| box
glamorous	adj	glamorous (adj) ||| glamoureux
formidable	adj	formidable (adj) ||| redoutable
isopropyl	noun	isopropyl (noun) ||| isopropanol
to outline	verb	to outline (verb) ||| décrire
hypercholesterolaemia	noun	hypercholesterolaemia (noun) ||| hypercholestérolémie
hungarian	noun	hungarian (noun) ||| hongrois
breath	noun	breath (noun) ||| souffle
seemly	adj	seemly (adj) ||| bienséant
arguable	adj	arguable (adj) ||| attaquable
belligerence	noun	belligerence (noun) ||| belligérance
centrifugation	noun	centrifugation (noun) ||| centrifugation
arbitrator	noun	arbitrator (noun) ||| arbitre
thief	noun	thief (noun) ||| voleur
city	noun	city (noun) ||| cité
crackle	noun	crackle (noun) ||| grésillement
substance	noun	substance (noun) ||| principe
irrigation	noun	irrigation (noun) ||| irrigation
organ	noun	organ (noun) ||| organe
spelunker	noun	spelunker (noun) ||| spéléologue
lord	noun	lord (noun) ||| Seigneur
programme	noun	programme (noun) ||| programme
parallel	noun	parallel (noun) ||| parallèle
to authorize	verb	to authorize (verb) ||| agréer
cat's-paw	noun	cat's-paw (noun) ||| dupe
to weep	verb	to weep (verb) ||| pleurer
to establish	verb	to establish (verb) ||| créer
conqueror	noun	conqueror (noun) ||| conquérant
to char	verb	to char (verb) ||| carboniser
to consolidate	verb	to consolidate (verb) ||| consolider
jenever	noun	jenever (noun) ||| genièvre
examiner	noun	examiner (noun) ||| légiste
existence	noun	existence (noun) ||| existence
maneuverable	adj	maneuverable (adj) ||| maniable
addition	noun	addition (noun) ||| ajout
emotive	adj	emotive (adj) ||| émotionnel
pretreatment	noun	pretreatment (noun) ||| pré-traitement
thorough	adj	thorough (adj) ||| approfondi
to mistake	verb	to mistake (verb) ||| se tromper
processor number	noun	processor number (noun) ||| numérotation
of the eucharist	adj	of the eucharist (adj) ||| eucharistique
cube-shaped	adj	cube-shaped (adj) ||| cubique
to misuse	verb	to misuse (verb) ||| galvauder
drill	noun	drill (noun) ||| perforatrice
devolution	noun	devolution (noun) ||| déconcentration
overlap	noun	overlap (noun) ||| dédoublement
enteric	adj	enteric (adj) ||| intestinal
capillary	adj	capillary (adj) ||| capillaire
current events	noun	current events (noun) ||| actualité
touching	adj	touching (adj) ||| touchant
spiraled	adj	spiraled (adj) ||| crépu
actuator	noun	actuator (noun) ||| vérin
kind	noun	kind (noun) ||| genre
syncope	noun	syncope (noun) ||| syncope
carriageway	noun	carriageway (noun) ||| chaussée
sensation	noun	sensation (noun) ||| sensation
shipyard	noun	shipyard (noun) ||| chantier
raspberry	noun	raspberry (noun) ||| framboisier
to equate	verb	to equate (verb) ||| assimiler
sinew	noun	sinew (noun) ||| nerf
buoyant	adj	buoyant (adj) ||| flottant
bedding	noun	bedding (noun) ||| literie
crystal experience	noun	crystal experience (noun) ||| Crystal
to taste	verb	to taste (verb) ||| déguster
deceitfulness	noun	deceitfulness (noun) ||| improbité
member	noun	member (noun) ||| adhérent
key	adj	key (adj) ||| principal
untruthful	adj	untruthful (adj) ||| menteur
mutilation	noun	mutilation (noun) ||| mutilation
pile	noun	pile (noun) ||| poil
palapa	noun	palapa (noun) ||| palapa
to cool	verb	to cool (verb) ||| refroidir
practised	adj	practised (adj) ||| expérimenté
homologous	adj	homologous (adj) ||| homologue
to drain	verb	to drain (verb) ||| se vider
lariat	noun	lariat (noun) ||| lasso
statement	noun	statement (noun) ||| affirmation
communication	noun	communication (noun) ||| communication
to self-destruct  destruct	verb	to self-destruct  destruct (verb) ||| autodétruire
semidetached	adj	semidetached (adj) ||| jumelé
raspberry	noun	raspberry (noun) ||| mûre
convincing	adj	convincing (adj) ||| convaincant
hashish	noun	hashish (noun) ||| hachisch
latch	noun	latch (noun) ||| verrouillage
spiny dogfish	noun	spiny dogfish (noun) ||| aiguillat
stocky	adj	stocky (adj) ||| courtaud
predilection	noun	predilection (noun) ||| prédilection
indeterminate	adj	indeterminate (adj) ||| indéterminé
basis	noun	basis (noun) ||| fondement
mulberry	noun	mulberry (noun) ||| mûrier
redeemable	adj	redeemable (adj) ||| encaissable
institution	noun	institution (noun) ||| institution
drizzle	noun	drizzle (noun) ||| bruine
grommet	noun	grommet (noun) ||| îlet
rubbing	noun	rubbing (noun) ||| friction
bulletin	noun	bulletin (noun) ||| bulletin
attraction	noun	attraction (noun) ||| attrait
blue	adj	blue (adj) ||| bleuté
to oppress	verb	to oppress (verb) ||| opprimer
multiprocessing	noun	multiprocessing (noun) ||| multiprocesseur
to squeeze	verb	to squeeze (verb) ||| extorquer
methyl alcohol	noun	methyl alcohol (noun) ||| méthanol
undying	adj	undying (adj) ||| immortel
earning	noun	earning (noun) ||| gain
make-up remover	noun	make-up remover (noun) ||| démaquillant
D-Pot	noun	D-Pot (noun) ||| D-Pot
to wriggle	verb	to wriggle (verb) ||| frétiller
traffic	noun	traffic (noun) ||| circulation
ecumenism	noun	ecumenism (noun) ||| oecuménisme
to bend	verb	to bend (verb) ||| plier
to intoxicate	verb	to intoxicate (verb) ||| intoxiquer
inflow	noun	inflow (noun) ||| influx
breaker	noun	breaker (noun) ||| disjoncteur
to campaign	verb	to campaign (verb) ||| militer
macroscopic	adj	macroscopic (adj) ||| macroscopique
cellulitis	noun	cellulitis (noun) ||| cellulite
user interaction	noun	user interaction (noun) ||| interactivité
ecologist	noun	ecologist (noun) ||| écologiste
potential allergenicity	noun	potential allergenicity (noun) ||| allergénicité
lipase level	noun	lipase level (noun) ||| lipase
grainy	adj	grainy (adj) ||| granuleux
tender	noun	tender (noun) ||| adjudication
pariah	noun	pariah (noun) ||| paria
to harvest	verb	to harvest (verb) ||| récolter
to enjoy	verb	to enjoy (verb) ||| apprécier
humpback	noun	humpback (noun) ||| bossue
to preselect	verb	to preselect (verb) ||| présélectionner
contractual	adj	contractual (adj) ||| contractuel
convocation	noun	convocation (noun) ||| convocation
paternalistic	adj	paternalistic (adj) ||| patriarcal
paranormal	adj	paranormal (adj) ||| paranormal
management	noun	management (noun) ||| direction
to bleat	verb	to bleat (verb) ||| geindre
Dutch	noun	Dutch (noun) ||| Hollandais
haciendum	noun	haciendum (noun) ||| haciendum
hallway	noun	hallway (noun) ||| couloir
to enchant	verb	to enchant (verb) ||| ensorceler
hardy	adj	hardy (adj) ||| hardi
pediment	noun	pediment (noun) ||| fronton
dealer	noun	dealer (noun) ||| dealer
arch	noun	arch (noun) ||| arche
cap	noun	cap (noun) ||| plafonnement
pompon	noun	pompon (noun) ||| Pompon
speculator	noun	speculator (noun) ||| spéculateur
above-mentioned	adj	above-mentioned (adj) ||| précité
to appall	verb	to appall (verb) ||| consterner
alarming	adj	alarming (adj) ||| alarmant
oompah	noun	oompah (noun) ||| flonflon
lupine	noun	lupine (noun) ||| lupin
confinement	noun	confinement (noun) ||| internement
to consider	verb	to consider (verb) ||| envisager
build	noun	build (noun) ||| génération
deicer	noun	deicer (noun) ||| dégivreur
beet	noun	beet (noun) ||| betterave
salt	adj	salt (adj) ||| salé
reverse	noun	reverse (noun) ||| verso
morphia	noun	morphia (noun) ||| morphine
attack	noun	attack (noun) ||| attentat
sneaky	adj	sneaky (adj) ||| insidieux
fiction writer	noun	fiction writer (noun) ||| romancier
conglomeration	noun	conglomeration (noun) ||| conglomérat
tub	noun	tub (noun) ||| baquet
loafer	noun	loafer (noun) ||| flâneur
desirable	adj	desirable (adj) ||| souhaitable
turnaround	noun	turnaround (noun) ||| revirement
to shatter	verb	to shatter (verb) ||| se casser
drill	noun	drill (noun) ||| forage
shepherd	noun	shepherd (noun) ||| hachis
lout	noun	lout (noun) ||| malotrue
against malaria	adj	against malaria (adj) ||| antipaludéen
non-presentation	noun	non-presentation (noun) ||| non-présentation
to leap	verb	to leap (verb) ||| bondir
petrochemical sector	noun	petrochemical sector (noun) ||| pétrochimie
panic-struck	adj	panic-struck (adj) ||| affolé
worldliness	noun	worldliness (noun) ||| matérialisme
rash	noun	rash (noun) ||| érythème
to spoil	verb	to spoil (verb) ||| gâter
baculoviruses	noun	baculoviruses (noun) ||| baculovirus
flageolet bean	noun	flageolet bean (noun) ||| flageolet
peg	noun	peg (noun) ||| patère
nut	noun	nut (noun) ||| écrou
agreement	noun	agreement (noun) ||| Convention
legalization	noun	legalization (noun) ||| légalisation
to concentrate	verb	to concentrate (verb) ||| concentrer
aphid	noun	aphid (noun) ||| puceron
rationale	noun	rationale (noun) ||| justification
to standardize	verb	to standardize (verb) ||| normaliser
coldness	noun	coldness (noun) ||| frigidité
zealous	adj	zealous (adj) ||| zélé
monoamine oxidase	noun	monoamine oxidase (noun) ||| monoamine-oxydase
current	adj	current (adj) ||| en cours
aluminum	noun	aluminum (noun) ||| aluminium
Afghan	adj	Afghan (adj) ||| afghan
warning	adj	warning (adj) ||| précurseur
conclusion	noun	conclusion (noun) ||| conclusion
canoeing	noun	canoeing (noun) ||| canoë
press-gang	noun	press-gang (noun) ||| racoleur
repeat offender	noun	repeat offender (noun) ||| récidiviste
Guatemalan	noun	Guatemalan (noun) ||| Guatémaltèque
to affix	verb	to affix (verb) ||| apposer
blessed	adj	blessed (adj) ||| bienheureux
libretto	noun	libretto (noun) ||| livret
burr	noun	burr (noun) ||| bardane
elusive	adj	elusive (adj) ||| évitant
bid	noun	bid (noun) ||| enchérisseur
co-chairman	noun	co-chairman (noun) ||| coprésidente
supernatural	adj	supernatural (adj) ||| surnaturel
workaround	noun	workaround (noun) ||| contournement
result	noun	result (noun) ||| résultat
artificial	adj	artificial (adj) ||| artificiel
non-liability	noun	non-liability (noun) ||| non-responsabilité
reveller	noun	reveller (noun) ||| fêtard
recess	noun	recess (noun) ||| renfoncement
organiser	noun	organiser (noun) ||| organisateur
gloomy	adj	gloomy (adj) ||| morose
couchette	noun	couchette (noun) ||| couchette
inalienable	adj	inalienable (adj) ||| imprescriptible
efficient	adj	efficient (adj) ||| performant
to outline	verb	to outline (verb) ||| esquisser
immaculate	adj	immaculate (adj) ||| immaculé
prattle	noun	prattle (noun) ||| babil
to wear	verb	to wear (verb) ||| porter
company	noun	company (noun) ||| entreprise
scaredy-cat	noun	scaredy-cat (noun) ||| froussard
anti-fascists	noun	anti-fascists (noun) ||| antifasciste
paisley	noun	paisley (noun) ||| Cachemire
Moldovan	adj	Moldovan (adj) ||| moldave
ambiguity	noun	ambiguity (noun) ||| équivoque
eyeliner	noun	eyeliner (noun) ||| eye-liner
insistent	adj	insistent (adj) ||| insistant
crank	noun	crank (noun) ||| hurluberlu
wrapper	noun	wrapper (noun) ||| papillote
recreance	noun	recreance (noun) ||| couardise
aminotransferase	noun	aminotransferase (noun) ||| aminotransférase
addict	noun	addict (noun) ||| drogué
plated	adj	plated (adj) ||| plaqué
drilling	noun	drilling (noun) ||| forage
kennel	noun	kennel (noun) ||| cage
out of school	adj	out of school (adj) ||| extra-scolaire
neutral	noun	neutral (noun) ||| neutre
herbal medicine	noun	herbal medicine (noun) ||| herboristerie
to list	verb	to list (verb) ||| répertorier
proportionate	adj	proportionate (adj) ||| proportionnel
chiromancy	noun	chiromancy (noun) ||| chiromancie
publisher	noun	publisher (noun) ||| éditeur
to tax	verb	to tax (verb) ||| taxer
medal	noun	medal (noun) ||| médaille
to move	verb	to move (verb) ||| déménager
suite	noun	suite (noun) ||| suite
potion	noun	potion (noun) ||| breuvage
general	noun	general (noun) ||| généralité
influx	noun	influx (noun) ||| afflux
geothermal	adj	geothermal (adj) ||| géothermique
tightfisted	adj	tightfisted (adj) ||| ladre
direct	adj	direct (adj) ||| direct
to liaise	verb	to liaise (verb) ||| se concerter
default	noun	default (noun) ||| défaut
to calibrate	verb	to calibrate (verb) ||| jauger
to chirrup	verb	to chirrup (verb) ||| piailler
flash	noun	flash (noun) ||| éclair
uncompromising	adj	uncompromising (adj) ||| intransigeant
decor	noun	decor (noun) ||| déco
smartie	noun	smartie (noun) ||| je-sais-tout
contrary	adj	contrary (adj) ||| contraire
banana tree	noun	banana tree (noun) ||| bananier
door	noun	door (noun) ||| porte
dilatation	noun	dilatation (noun) ||| dilatation
tone	noun	tone (noun) ||| tonus
elated	adj	elated (adj) ||| exalter
inviolability	noun	inviolability (noun) ||| intangibilité
facilitation	noun	facilitation (noun) ||| facilitation
plowshare	noun	plowshare (noun) ||| SOC
abundant	adj	abundant (adj) ||| abondant
huge	adj	huge (adj) ||| immense
to remove	verb	to remove (verb) ||| enlever
to immerse	verb	to immerse (verb) ||| s'immerger
abolition	noun	abolition (noun) ||| abolition
to scribble	verb	to scribble (verb) ||| griffonner
external	adj	external (adj) ||| externe
lease	noun	lease (noun) ||| concession
pocket calculator	noun	pocket calculator (noun) ||| calculette
to calm down	verb	to calm down (verb) ||| s'apaiser
viewer	noun	viewer (noun) ||| observateur
prostitution	noun	prostitution (noun) ||| prostitution
privation	noun	privation (noun) ||| privation
removal	noun	removal (noun) ||| ablation
side	noun	side (noun) ||| face
pool	noun	pool (noun) ||| bassin
multi-racial	adj	multi-racial (adj) ||| multiracial
obfuscation	noun	obfuscation (noun) ||| faux-fuyant
checkbook	noun	checkbook (noun) ||| chéquier
mutation	noun	mutation (noun) ||| mutation
bougainvillea	noun	bougainvillea (noun) ||| bougainvillée
latecomer	noun	latecomer (noun) ||| retardataire
delicacy	noun	delicacy (noun) ||| délice
terrible	adj	terrible (adj) ||| affreux
office	noun	office (noun) ||| Commissariat
to paddle	verb	to paddle (verb) ||| barboter
cannery	noun	cannery (noun) ||| conserverie
deceased	adj	deceased (adj) ||| défunt
potato peeler	noun	potato peeler (noun) ||| éplucheur
to weaken	verb	to weaken (verb) ||| s'affaiblir
non-payment	noun	non-payment (noun) ||| non-paiement
resonance	noun	resonance (noun) ||| écho
vice minister	noun	vice minister (noun) ||| vice-ministre
dagger	noun	dagger (noun) ||| poignard
to reduce	verb	to reduce (verb) ||| atténuer
ornamental	adj	ornamental (adj) ||| ornemental
sublime	adj	sublime (adj) ||| sublime
criminality	noun	criminality (noun) ||| criminalité
morality	noun	morality (noun) ||| morale
to discourage	verb	to discourage (verb) ||| déconseiller
old	adj	old (adj) ||| ancien
non-believer	noun	non-believer (noun) ||| incroyante
auspice	noun	auspice (noun) ||| patronage
superposition	noun	superposition (noun) ||| superposition
impacted	adj	impacted (adj) ||| inclus
feminism	noun	feminism (noun) ||| féminisme
parent child	noun	parent child (noun) ||| parents-enfants
to rank	verb	to rank (verb) ||| classer
twaddle	noun	twaddle (noun) ||| faribole
multilayer	adj	multilayer (adj) ||| multi-couche
fussbudget	noun	fussbudget (noun) ||| enquiquineuse
to search	verb	to search (verb) ||| fouiller
to fade	verb	to fade (verb) ||| décolorer
impudence	noun	impudence (noun) ||| impudence
cilantro	noun	cilantro (noun) ||| coriandre
mule	noun	mule (noun) ||| mulet
to remedy	verb	to remedy (verb) ||| remédier
headphone	noun	headphone (noun) ||| écouteur
diversion	noun	diversion (noun) ||| réacheminement
internationalisation	noun	internationalisation (noun) ||| internationalisation
bare	adj	bare (adj) ||| nu
hydro-massage	noun	hydro-massage (noun) ||| hydromassage
shell	noun	shell (noun) ||| obus
to dazzle	verb	to dazzle (verb) ||| éblouir
boat	noun	boat (noun) ||| embarcation
cartographer	noun	cartographer (noun) ||| cartographe
light	adj	light (adj) ||| léger
surrender	noun	surrender (noun) ||| capitulation
clothing	noun	clothing (noun) ||| habillement
bound	adj	bound (adj) ||| relié
to envy	verb	to envy (verb) ||| envier
outcast	noun	outcast (noun) ||| truand
cocktail party	noun	cocktail party (noun) ||| cocktail
brood	noun	brood (noun) ||| couvée
buttock	noun	buttock (noun) ||| postérieur
viable	adj	viable (adj) ||| viable
overutilization	noun	overutilization (noun) ||| surutilisation
coccidia infections	noun	coccidia infections (noun) ||| coccidiose
mishap	noun	mishap (noun) ||| mésaventure
micro-circuitry	noun	micro-circuitry (noun) ||| microcircuit
unintelligible	adj	unintelligible (adj) ||| inintelligible
sharp	adj	sharp (adj) ||| aigu
to lyophilize	verb	to lyophilize (verb) ||| lyophiliser
empathic solution	noun	empathic solution (noun) ||| empathie
to graze	verb	to graze (verb) ||| brouter
hand axe	noun	hand axe (noun) ||| hache
nothingness	noun	nothingness (noun) ||| néant
monitoring	noun	monitoring (noun) ||| suivi
flugelhorn	noun	flugelhorn (noun) ||| Buglé
amorphous	adj	amorphous (adj) ||| amorphe
spidery	adj	spidery (adj) ||| arachnéen
sourdough	noun	sourdough (noun) ||| levain
domestic	adj	domestic (adj) ||| ménager
despicable	adj	despicable (adj) ||| abject
vehicle	noun	vehicle (noun) ||| véhicule
to see	verb	to see (verb) ||| apercevoir
godlessness	noun	godlessness (noun) ||| impiété
cinematic	adj	cinematic (adj) ||| cinématique
pagan	noun	pagan (noun) ||| païen
rafter	noun	rafter (noun) ||| arbalétrier
annotation	noun	annotation (noun) ||| annotation
netbook	noun	netbook (noun) ||| netbook
talk	noun	talk (noun) ||| conversation
shameless	adj	shameless (adj) ||| éhonté
fugitive	noun	fugitive (noun) ||| fugitif
to destine	verb	to destine (verb) ||| se destiner
aerobatic	adj	aerobatic (adj) ||| acrobatique
to muzzle	verb	to muzzle (verb) ||| bâillonner
worship	noun	worship (noun) ||| dévotion
to weaponize	verb	to weaponize (verb) ||| militariser
mystification	noun	mystification (noun) ||| mystification
to jump	verb	to jump (verb) ||| sauter
exfoliation	noun	exfoliation (noun) ||| peeling
Serbian	noun	Serbian (noun) ||| serbe
protestor	noun	protestor (noun) ||| contestataire
figurine	noun	figurine (noun) ||| figurine
muzzle	noun	muzzle (noun) ||| chanfrein
to perfume	verb	to perfume (verb) ||| parfumer
cannula	noun	cannula (noun) ||| cathéter
hardware	noun	hardware (noun) ||| quincaillerie
stupor	noun	stupor (noun) ||| stupeur
resource	noun	resource (noun) ||| ressource
spite	noun	spite (noun) ||| hargne
clastogen	noun	clastogen (noun) ||| clastogène
wound	noun	wound (noun) ||| plaie
haul	adj	haul (adj) ||| courrier
decryption	noun	decryption (noun) ||| déchiffrement
ubiquitous	adj	ubiquitous (adj) ||| omniprésent
Castilian	noun	Castilian (noun) ||| castillan
path	noun	path (noun) ||| cheminement
