French, verb, caractériser, infinitif, participe présent, participe passé	['caractériser', 'caractérisant', 'caractérisé', 'caractérisée', 'caractérisés', 'caractérisées']	caractériser (verb) ||| to characterize
French, verb, caractériser, présent indicatif	['caractérise', 'caractérises', 'caractérisons', 'caractérisez', 'caractérisent']	caractériser (verb) ||| to characterize
French, verb, caractériser, imparfait indicatif	['caractérisais', 'caractérisait', 'caractérisions', 'caractérisiez', 'caractérisaient']	caractériser (verb) ||| to characterize
French, verb, caractériser, impératif	['caractérise', 'caractérisons', 'caractérisez']	caractériser (verb) ||| to characterize
French, verb, caractériser, futur simple	['caractériserai', 'caractériseras', 'caractérisera', 'caractériserons', 'caractériserez', 'caractériseront']	caractériser (verb) ||| to characterize
French, verb, caractériser, subjonctif présent	['caractérise', 'caractérises', 'caractérisions', 'caractérisiez', 'caractérisent']	caractériser (verb) ||| to characterize
French, verb, caractériser, conditionnel présent	['caractériserais', 'caractériserait', 'caractériserions', 'caractériseriez', 'caractériseraient']	caractériser (verb) ||| to characterize
French, verb, caractériser, passé simple	['caractérisai', 'caractérisas', 'caractérisa', 'caractérisâmes', 'caractérisâtes', 'caractérisèrent']	caractériser (verb) ||| to characterize
French, verb, caractériser, subjonctif imparfait	['caractérise', 'caractérises', 'caractérisions', 'caractérisiez', 'caractérisent']	caractériser (verb) ||| to characterize
French, noun, centile, formes de genre et de nombre	['centile', 'centiles']	centile (noun) ||| percentile
French, adj, antérieur, formes de genre et de nombre	['antérieur', 'antérieure', 'antérieurs', 'antérieures']	antérieur (adj) ||| previous
French, verb, inscrire, infinitif, participe présent, participe passé	['inscrire', 'inscrivant', 'inscrit', 'inscrite', 'inscrits', 'inscrites']	inscrire (verb) ||| to register
French, verb, inscrire, présent indicatif	['inscris', 'inscrit', 'inscrivons', 'inscrivez', 'inscrivent']	inscrire (verb) ||| to register
French, verb, inscrire, imparfait indicatif	['inscrivais', 'inscrivait', 'inscrivions', 'inscriviez', 'inscrivaient']	inscrire (verb) ||| to register
French, verb, inscrire, impératif	['inscris', 'inscrivons', 'inscrivez']	inscrire (verb) ||| to register
French, verb, inscrire, futur simple	['inscrirai', 'inscriras', 'inscrira', 'inscrirons', 'inscrirez', 'inscriront']	inscrire (verb) ||| to register
French, verb, inscrire, subjonctif présent	["j'inscrive", "t'inscrives", "s'inscrive", 'inscrivions', 'inscriviez', "s'inscrivent"]	inscrire (verb) ||| to register
French, verb, inscrire, conditionnel présent	['inscrirais', 'inscrirait', 'inscririons', 'inscririez', 'inscriraient']	inscrire (verb) ||| to register
French, verb, inscrire, passé simple	['inscrivis', 'inscrivit', 'inscrivîmes', 'inscrivîtes', 'inscrivirent']	inscrire (verb) ||| to register
French, verb, inscrire, subjonctif imparfait	["j'inscrive", "t'inscrives", "s'inscrive", 'inscrivions', 'inscriviez', "s'inscrivent"]	inscrire (verb) ||| to register
French, noun, bohémienne, formes de genre et de nombre	['bohémienne', 'bohémien', 'bohémiens', 'bohémiennes']	bohémienne (noun) ||| bohemian
French, noun, gardiennage, formes de genre et de nombre	['gardiennage', 'gardiennages']	gardiennage (noun) ||| security guard
French, noun, culpabilité, formes de genre et de nombre	['culpabilité']	culpabilité (noun) ||| conviction
French, noun, dissolution, formes de genre et de nombre	['dissolution', 'dissolutions']	dissolution (noun) ||| abolition
French, verb, chausser, infinitif, participe présent, participe passé	['chausser', 'chaussant', 'chaussé', 'chaussée', 'chaussés', 'chaussées']	chausser (verb) ||| to put on
French, verb, chausser, présent indicatif	['chausse', 'chausses', 'chaussons', 'chaussez', 'chaussent']	chausser (verb) ||| to put on
French, verb, chausser, imparfait indicatif	['chausser', 'chausseries', 'chausserait', 'chausserions', 'chausseriez', 'chausseraient']	chausser (verb) ||| to put on
French, verb, chausser, impératif	['chausse', 'chaussons', 'chaussez']	chausser (verb) ||| to put on
French, verb, chausser, futur simple	['chausserai', 'chausseras', 'chaussera', 'chausserons', 'chausseriez', 'chausseront']	chausser (verb) ||| to put on
French, verb, chausser, subjonctif présent	['chausse', 'chausses', 'chaussons', 'chaussez', 'chaussent']	chausser (verb) ||| to put on
French, verb, chausser, conditionnel présent	['chausserais', 'chausserait', 'chausserions', 'chausseriez', 'chausseraient']	chausser (verb) ||| to put on
French, verb, chausser, passé simple	['chaussai', 'chaussas', 'chaussa', 'chaussons', 'chaussez', 'chaussèrent']	chausser (verb) ||| to put on
French, verb, chausser, subjonctif imparfait	['chausse', 'chausses', 'chaussions', 'chaussiez', 'chaussent']	chausser (verb) ||| to put on
French, verb, budgétiser, infinitif, participe présent, participe passé	['budgétiser', 'budgétisant', 'budgétisé', 'budgétisée', 'budgétisés', 'budgétisées']	budgétiser (verb) ||| to budget
French, verb, budgétiser, présent indicatif	['budgétise', 'budgétises', 'budgétisons', 'budgétisez', 'budgétisent']	budgétiser (verb) ||| to budget
French, verb, budgétiser, imparfait indicatif	['budgétisais', 'budgétisait', 'budgétisions', 'budgétisiez', 'budgétisaient']	budgétiser (verb) ||| to budget
French, verb, budgétiser, impératif	['budgétisons', 'budgétisez', 'budgétisent']	budgétiser (verb) ||| to budget
French, verb, budgétiser, futur simple	['budgétiserai', 'budgétiseras', 'budgétisera', 'budgétiserons', 'budgétiserez', 'budgétiseront']	budgétiser (verb) ||| to budget
French, verb, budgétiser, subjonctif présent	['budgétise', 'budgétises', 'budgétisions', 'budgétisiez', 'budgétisent']	budgétiser (verb) ||| to budget
French, verb, budgétiser, conditionnel présent	['budgétiserais', 'budgétiserait', 'budgétiserions', 'budgétiseriez', 'budgétiseraient']	budgétiser (verb) ||| to budget
French, verb, budgétiser, passé simple	['budgétisai', 'budgétisâtes', 'budgétisèrent']	budgétiser (verb) ||| to budget
French, verb, budgétiser, subjonctif imparfait	['budgétise', 'budgétises', 'budgétisions', 'budgétisez', 'budgétisent']	budgétiser (verb) ||| to budget
French, verb, se mourir, infinitif, participe présent, participe passé	['mourir', 'mourant', 'mort', 'morte', 'morts', 'mortes']	se mourir (verb) ||| to die out
French, verb, se mourir, présent indicatif	['meurs', 'meurt', 'mourons', 'mouriez', 'meurent']	se mourir (verb) ||| to die out
French, verb, se mourir, imparfait indicatif	['mourais', 'mourait', 'mourions', 'mouriez', 'mouraient']	se mourir (verb) ||| to die out
French, verb, se mourir, impératif	['mourons', 'mouriez', 'meurs', 'meurez', 'meurent']	se mourir (verb) ||| to die out
French, verb, se mourir, futur simple	['mourrai', 'mourras', 'mourra', 'mourrons', 'mourrez', 'mourront']	se mourir (verb) ||| to die out
French, verb, se mourir, subjonctif présent	['meure', 'meures', 'meurions', 'meuriez', 'meurent']	se mourir (verb) ||| to die out
French, verb, se mourir, conditionnel présent	['mourrais', 'mourrait', 'mourrions', 'mourriez', 'mourraient']	se mourir (verb) ||| to die out
French, verb, se mourir, passé simple	['mourus', 'mourut', 'mourûmes', 'mourûtes', 'moururent']	se mourir (verb) ||| to die out
French, verb, se mourir, subjonctif imparfait	['mourasse', 'mourasses', 'mourât', 'mourassions', 'mourassiez', 'mourassent']	se mourir (verb) ||| to die out
French, noun, schéma, formes de genre et de nombre	['schéma', 'schémas']	schéma (noun) ||| schema
French, adj, macroéconomique, formes de genre et de nombre	['macroéconomique', 'macroéconomiques']	macroéconomique (adj) ||| macroeconomic
French, adj, instable, formes de genre et de nombre	['instable', 'instables']	instable (adj) ||| unstable
French, verb, afficher, infinitif, participe présent, participe passé	['afficher', 'affichant', 'affiché']	afficher (verb) ||| to view
French, verb, afficher, présent indicatif	['affiche', 'affiches', 'affichons', 'affichez', 'affichent']	afficher (verb) ||| to view
French, verb, afficher, imparfait indicatif	['affichais', 'affichait', 'affichions', 'affichiez', 'affichaient']	afficher (verb) ||| to view
French, verb, afficher, impératif	['affiche', 'affichons', 'affichez']	afficher (verb) ||| to view
French, verb, afficher, futur simple	['afficherai', 'afficheras', 'affichera', 'afficherons', 'afficherez', 'afficheront']	afficher (verb) ||| to view
French, verb, afficher, subjonctif présent	["j'affiche", 'affiches', 'affiche', 'affichions', 'affichiez', 'affichent']	afficher (verb) ||| to view
French, verb, afficher, conditionnel présent	['afficherais', 'afficherait', 'afficherions', 'afficheriez', 'afficheraient']	afficher (verb) ||| to view
French, verb, afficher, passé simple	['affichai', 'affichas', 'afficha', 'affichâmes', 'affichâtes', 'affichèrent']	afficher (verb) ||| to view
French, verb, afficher, subjonctif imparfait	['affiche', 'affiches', 'affichions', 'affichiez', 'affichent']	afficher (verb) ||| to view
French, verb, cahoter, infinitif, participe présent, participe passé	['cahoter', 'cahotant', 'cahoté', 'cahotée', 'cahotés', 'cahotées']	cahoter (verb) ||| to joggle
French, verb, cahoter, présent indicatif	['cahoté', 'cahotes', 'cahotons', 'cahotiez', 'cahotent']	cahoter (verb) ||| to joggle
French, verb, cahoter, imparfait indicatif	['cahotais', 'cahotait', 'cahotions', 'cahotiez', 'cahotient']	cahoter (verb) ||| to joggle
French, verb, cahoter, impératif	['cahotons', 'cahotez', 'cahotent']	cahoter (verb) ||| to joggle
French, verb, cahoter, futur simple	['cahoterai', 'cahoteras', 'cahotera', 'cahoterons', 'cahoterez', 'cahoteront']	cahoter (verb) ||| to joggle
French, verb, cahoter, subjonctif présent	['cahote', 'cahotes', 'cahotions', 'cahotiez', 'cahotent']	cahoter (verb) ||| to joggle
French, verb, cahoter, conditionnel présent	['cahoterais', 'cahoterait', 'cahoterions', 'cahoteriez', 'cahoteraient']	cahoter (verb) ||| to joggle
French, verb, cahoter, passé simple	['cahotai', 'cahotas', 'cahota', 'cahotâmes', 'cahotâtes', 'cahotèrent']	cahoter (verb) ||| to joggle
French, verb, cahoter, subjonctif imparfait	['cahote', 'cahotes', 'cahotions', 'cahotiez', 'cahotent']	cahoter (verb) ||| to joggle
French, adj, atténuant, formes de genre et de nombre	['atténuant', 'atténuante', 'atténuants', 'atténuantes']	atténuant (adj) ||| extenuating
French, noun, Eurogroupe, formes de genre et de nombre	['Eurogroupe', 'Eurogroupes']	Eurogroupe (noun) ||| euro group
French, noun, liqueur, formes de genre et de nombre	['liqueur', "liqueur'", 'liqueurs', "liqueurs'"]	liqueur (noun) ||| liquor
French, adj, dissuasif, formes de genre et de nombre	['dissuasif', 'dissuasive', 'dissuasifs', 'dissuasives']	dissuasif (adj) ||| dissuasive
French, noun, stabilisateur, formes de genre et de nombre	['stabilisateur', 'stabilisatrice', 'stabilisateurs', 'stabilisatrices']	stabilisateur (noun) ||| stabilizer
French, noun, coquelicot, formes de genre et de nombre	['coquelicot', 'coquelicots']	coquelicot (noun) ||| red poppy
French, noun, prévisibilité, formes de genre et de nombre	['prévisibilité', 'prévisibilités']	prévisibilité (noun) ||| predictability
French, noun, maîtresse, formes de genre et de nombre	['maîtresse', 'maîtresses']	maîtresse (noun) ||| schoolmistress
French, adj, extrême, formes de genre et de nombre	['extrême', 'extrêmes']	extrême (adj) ||| extreme
French, noun, compartiment, formes de genre et de nombre	['compartiment', 'compartiments']	compartiment (noun) ||| bin
French, adj, libidineux, formes de genre et de nombre	['libidineux', 'libidineuse', 'libidinieux', 'libidinieuses']	libidineux (adj) ||| lecherous
French, noun, français, formes de genre et de nombre	['français', 'française', 'françaises']	français (noun) ||| French
French, noun, modiste, formes de genre et de nombre	['modiste', 'modistes']	modiste (noun) ||| milliner
French, verb, rebondir, infinitif, participe présent, participe passé	['rebondir', 'rebondissant', 'rebondi', 'rebondie', 'rebondis', 'rebondies']	rebondir (verb) ||| to bounce
French, verb, rebondir, présent indicatif	['rebondis', 'rebondit', 'rebondissons', 'rebondissez', 'rebondissent']	rebondir (verb) ||| to bounce
French, verb, rebondir, imparfait indicatif	['rebondissais', 'rebondissait', 'rebondissions', 'rebondissiez', 'rebondissaient']	rebondir (verb) ||| to bounce
French, verb, rebondir, impératif	['rebondis', 'rebondissons', 'rebondissez']	rebondir (verb) ||| to bounce
French, verb, rebondir, futur simple	['rebondirai', 'rebondiras', 'rebondira', 'rebondirons', 'rebondirez', 'rebondiront']	rebondir (verb) ||| to bounce
French, verb, rebondir, subjonctif présent	['rebondisse', 'rebondisses', 'rebondissions', 'rebondissiez', 'rebondissent']	rebondir (verb) ||| to bounce
French, verb, rebondir, conditionnel présent	['rebondirais', 'rebondirait', 'rebondirions', 'rebondiriez', 'rebondiraient']	rebondir (verb) ||| to bounce
French, verb, rebondir, passé simple	['rebondis', 'rebondit', 'rebondîmes', 'rebondîtes', 'rebondirent']	rebondir (verb) ||| to bounce
French, verb, rebondir, subjonctif imparfait	['rebondisse', 'rebondisses', 'rebondissions', 'rebondissiez', 'rebondissent']	rebondir (verb) ||| to bounce
French, verb, éloigner, infinitif, participe présent, participe passé	['éloigner', 'éloignant', 'éloigné', 'éloignée', 'éloignés', 'éloignées']	éloigner (verb) ||| to alienate
French, verb, éloigner, présent indicatif	['éloigne', 'éloignes', 'éloignons', 'éloignez', 'éloignent']	éloigner (verb) ||| to alienate
French, verb, éloigner, imparfait indicatif	['éloignais', 'éloignait', 'éloignions', 'éloigniez', 'éloignaient']	éloigner (verb) ||| to alienate
French, verb, éloigner, impératif	['éloigne', 'éloignons', 'éloignez']	éloigner (verb) ||| to alienate
French, verb, éloigner, futur simple	['éloignerai', 'éloigneras', 'éloignera', 'éloignerons', 'éloignerez', 'éloigneront']	éloigner (verb) ||| to alienate
French, verb, éloigner, subjonctif présent	['éloigne', 'éloignes', 'éloignions', 'éloigniez', 'éloignent']	éloigner (verb) ||| to alienate
French, verb, éloigner, conditionnel présent	['éloignerais', 'éloignerait', 'éloignerions', 'éloigneriez', 'éloigneraient']	éloigner (verb) ||| to alienate
French, verb, éloigner, passé simple	['éloignai', 'éloignas', 'éloigna', 'éloignâmes', 'éloignâtes', 'éloignèrent']	éloigner (verb) ||| to alienate
French, verb, éloigner, subjonctif imparfait	['éloignasse', 'éloignasses', 'éloignât', 'éloignassions', 'éloignassiez', 'éloignassent']	éloigner (verb) ||| to alienate
French, noun, CD, formes de genre et de nombre	['CD', 'CDs']	CD (noun) ||| CD
French, noun, bobine, formes de genre et de nombre	['bobine', 'bobines']	bobine (noun) ||| coil
French, adj, banal, formes de genre et de nombre	['banal', 'banale', 'banals', 'banales']	banal (adj) ||| banal
French, noun, obstétriciens, formes de genre et de nombre	['obstétricien', 'obstétricienne', 'obstétriciens', 'obstétriciennes']	obstétriciens (noun) ||| obstetrics
French, noun, cabriole, formes de genre et de nombre	['cabriole', 'cabrioles']	cabriole (noun) ||| antics
French, adj, irrévérencieux, formes de genre et de nombre	['irrévérencieux', 'irrévérencieuse', 'irrévérencieuses']	irrévérencieux (adj) ||| irreverent
French, adj, en déclin, formes de genre et de nombre	['déclin']	en déclin (adj) ||| in decline
French, noun, comté, formes de genre et de nombre	['comté', 'comtés']	comté (noun) ||| riding
French, noun, crête, formes de genre et de nombre	['crête', 'crêtes']	crête (noun) ||| ridge
French, adj, inévitable, formes de genre et de nombre	['inévitable', 'inévitables']	inévitable (adj) ||| inevitable
French, noun, abstraction, formes de genre et de nombre	['abstraction', 'abstractions']	abstraction (noun) ||| independent
French, verb, câliner, infinitif, participe présent, participe passé	['câliner', 'câlinant', 'câliné', 'câlinée', 'câlinés', 'câlinées']	câliner (verb) ||| to pet
French, verb, câliner, présent indicatif	['câline', 'câlines', 'câlinons', 'câlinez', 'câlinent']	câliner (verb) ||| to pet
French, verb, câliner, imparfait indicatif	['câlinais', 'câlinait', 'câlinions', 'câliniez', 'câlinaient']	câliner (verb) ||| to pet
French, verb, câliner, impératif	['câline', 'câlinons', 'câlinez']	câliner (verb) ||| to pet
French, verb, câliner, futur simple	['câlinerai', 'câlineras', 'câlinera', 'câlinerons', 'câlinerez', 'câlineront']	câliner (verb) ||| to pet
French, verb, câliner, subjonctif présent	['câline', 'câlines', 'câlinons', 'câlinez', 'câlinent']	câliner (verb) ||| to pet
French, verb, câliner, conditionnel présent	['câliner', 'câlinerions', 'câlineriez', 'câleraient']	câliner (verb) ||| to pet
French, verb, câliner, passé simple	['câlinai', 'câlinas', 'câlina', 'câlinâmes', 'câlinâtes', 'câlinèrent']	câliner (verb) ||| to pet
French, verb, câliner, subjonctif imparfait	['câline', 'câlines', 'câlinions', 'câliniez', 'câlinent']	câliner (verb) ||| to pet
French, noun, lot, formes de genre et de nombre	['lot', 'lots']	lot (noun) ||| lot
French, noun, notaire, formes de genre et de nombre	['notaire', 'notaires']	notaire (noun) ||| notary public
French, noun, ex-dictateur, formes de genre et de nombre	['ex-dictateur', 'ex-dictatrice', 'ex-dictateurs', 'ex-dictatrices']	ex-dictateur (noun) ||| former dictator
French, adj, pseudo-grippaux, formes de genre et de nombre	['pseudo-grippaux', 'pseudo-grippale', 'pseudo-grippales']	pseudo-grippaux (adj) ||| flu-like
French, noun, marinier, formes de genre et de nombre	['marinier', 'marinière', 'mariniers', 'marinières']	marinier (noun) ||| submariner
French, noun, box, formes de genre et de nombre	['box', "box'", "box''", 'boxes', "boxes'", "boxes''"]	box (noun) ||| crate
French, adj, glamoureux, formes de genre et de nombre	['glamoureux', 'glamoureuse', 'glamoureuses']	glamoureux (adj) ||| glamorous
French, adj, redoutable, formes de genre et de nombre	['redoutable', 'redoutables']	redoutable (adj) ||| formidable
French, noun, isopropanol, formes de genre et de nombre	['isopropanol', 'isopropanols']	isopropanol (noun) ||| isopropyl
French, verb, décrire, infinitif, participe présent, participe passé	['décrire', 'décrivant', 'décrit']	décrire (verb) ||| to outline
French, verb, décrire, présent indicatif	['décris', 'décrit', 'décrivons', 'décrivez', 'décrivent']	décrire (verb) ||| to outline
French, verb, décrire, imparfait indicatif	['décrivais', 'décrivait', 'décrivions', 'décriviez', 'décrivaient']	décrire (verb) ||| to outline
French, verb, décrire, impératif	['décris', 'décrivons', 'décrivez']	décrire (verb) ||| to outline
French, verb, décrire, futur simple	['décrirai', 'décriras', 'décrira', 'décrirons', 'décrirez', 'décriront']	décrire (verb) ||| to outline
French, verb, décrire, subjonctif présent	['décrive', 'décrives', 'décrivions', 'décriviez', 'décrivent']	décrire (verb) ||| to outline
French, verb, décrire, conditionnel présent	['décrirais', 'décrirait', 'décririons', 'décririez', 'décriraient']	décrire (verb) ||| to outline
French, verb, décrire, passé simple	['décrivis', 'décrivit', 'décrivîmes', 'décrivîtes', 'décrivirent']	décrire (verb) ||| to outline
French, verb, décrire, subjonctif imparfait	['décrive', 'décrives', 'décrivions', 'décriviez', 'décrivent']	décrire (verb) ||| to outline
French, noun, hypercholestérolémie, formes de genre et de nombre	['hypercholestérolémie', 'hypercholestérolémies']	hypercholestérolémie (noun) ||| hypercholesterolaemia
French, noun, hongrois, formes de genre et de nombre	['hongrois', 'hongroise', 'hongroises']	hongrois (noun) ||| hungarian
French, noun, souffle, formes de genre et de nombre	['souffle', 'souffles']	souffle (noun) ||| breath
French, adj, bienséant, formes de genre et de nombre	['bienséant', 'bienséante', 'bienséants', 'bienséantes']	bienséant (adj) ||| seemly
French, adj, attaquable, formes de genre et de nombre	['attaquable', 'attaquables']	attaquable (adj) ||| arguable
French, noun, belligérance, formes de genre et de nombre	['belligérance', 'belligérances']	belligérance (noun) ||| belligerence
French, noun, centrifugation, formes de genre et de nombre	['centrifugation', 'centrifugations']	centrifugation (noun) ||| centrifugation
French, noun, arbitre, formes de genre et de nombre	['arbitre', 'arbitres']	arbitre (noun) ||| arbitrator
French, noun, voleur, formes de genre et de nombre	['voleur', 'voleurs', 'voleuse', 'voleuses']	voleur (noun) ||| thief
French, noun, cité, formes de genre et de nombre	['cité', 'citée', 'cités', 'citées']	cité (noun) ||| city
French, noun, grésillement, formes de genre et de nombre	['grésillement', 'grésillements']	grésillement (noun) ||| crackle
French, noun, principe, formes de genre et de nombre	['principe', 'principes']	principe (noun) ||| substance
French, noun, irrigation, formes de genre et de nombre	['irrigation', 'irrigations']	irrigation (noun) ||| irrigation
French, noun, organe, formes de genre et de nombre	['organe', 'organes']	organe (noun) ||| organ
French, noun, spéléologue, formes de genre et de nombre	['spéléologue', 'spéléologues']	spéléologue (noun) ||| spelunker
French, noun, Seigneur, formes de genre et de nombre	['Seigneur', 'Seigneurs']	Seigneur (noun) ||| lord
