characterize	verb	to characterize (verb) ||| caractériser
percentile	noun	percentile (noun) ||| centile
previous	adj	previous (adj) ||| antérieur
register	verb	to register (verb) ||| inscrire
bohemian	noun	bohemian (noun) ||| bohémienne
security guard	noun phrase	security guard (noun) ||| gardiennage
conviction	noun	conviction (noun) ||| culpabilité
abolition	noun	abolition (noun) ||| dissolution
put on	verb phrase	to put on (verb) ||| chausser
budget	verb	to budget (verb) ||| budgétiser
die out	verb phrase	to die out (verb) ||| se mourir
schema	noun	schema (noun) ||| schéma
macroeconomic	adj	macroeconomic (adj) ||| macroéconomique
unstable	adj	unstable (adj) ||| instable
view	verb	to view (verb) ||| afficher
joggle	verb	to joggle (verb) ||| cahoter
extenuating	adj	extenuating (adj) ||| atténuant
euro group	noun phrase	euro group (noun) ||| Eurogroupe
liquor	noun	liquor (noun) ||| liqueur
dissuasive	adj	dissuasive (adj) ||| dissuasif
stabilizer	noun	stabilizer (noun) ||| stabilisateur
red poppy	noun phrase	red poppy (noun) ||| coquelicot
predictability	noun	predictability (noun) ||| prévisibilité
schoolmistress	noun	schoolmistress (noun) ||| maîtresse
extreme	adj	extreme (adj) ||| extrême
bin	noun	bin (noun) ||| compartiment
lecherous	adj	lecherous (adj) ||| libidineux
French	noun	French (noun) ||| français
milliner	noun	milliner (noun) ||| modiste
bounce	verb	to bounce (verb) ||| rebondir
alienate	verb	to alienate (verb) ||| éloigner
CD	noun	CD (noun) ||| CD
coil	noun	coil (noun) ||| bobine
banal	adj	banal (adj) ||| banal
obstetrics	noun	obstetrics (noun) ||| obstétriciens
antics	noun	antics (noun) ||| cabriole
irreverent	adj	irreverent (adj) ||| irrévérencieux
in decline	adj phrase	in decline (adj) ||| en déclin
riding	noun	riding (noun) ||| comté
ridge	noun	ridge (noun) ||| crête
inevitable	adj	inevitable (adj) ||| inévitable
independent	noun	independent (noun) ||| abstraction
pet	verb	to pet (verb) ||| câliner
lot	noun	lot (noun) ||| lot
notary public	noun phrase	notary public (noun) ||| notaire
former dictator	noun phrase	former dictator (noun) ||| ex-dictateur
flu-like	adj	flu-like (adj) ||| pseudo-grippaux
submariner	noun	submariner (noun) ||| marinier
crate	noun	crate (noun) ||| box
glamorous	adj	glamorous (adj) ||| glamoureux
formidable	adj	formidable (adj) ||| redoutable
isopropyl	noun	isopropyl (noun) ||| isopropanol
outline	verb	to outline (verb) ||| décrire
hypercholesterolaemia	noun	hypercholesterolaemia (noun) ||| hypercholestérolémie
hungarian	noun	hungarian (noun) ||| hongrois
breath	noun	breath (noun) ||| souffle
seemly	adj	seemly (adj) ||| bienséant
arguable	adj	arguable (adj) ||| attaquable
belligerence	noun	belligerence (noun) ||| belligérance
centrifugation	noun	centrifugation (noun) ||| centrifugation
arbitrator	noun	arbitrator (noun) ||| arbitre
thief	noun	thief (noun) ||| voleur
city	noun	city (noun) ||| cité
crackle	noun	crackle (noun) ||| grésillement
substance	noun	substance (noun) ||| principe
irrigation	noun	irrigation (noun) ||| irrigation
organ	noun	organ (noun) ||| organe
spelunker	noun	spelunker (noun) ||| spéléologue
lord	noun	lord (noun) ||| Seigneur
programme	noun	programme (noun) ||| programme
parallel	noun	parallel (noun) ||| parallèle
authorize	verb	to authorize (verb) ||| agréer
cat's-paw	noun	cat's-paw (noun) ||| dupe
weep	verb	to weep (verb) ||| pleurer
establish	verb	to establish (verb) ||| créer
conqueror	noun	conqueror (noun) ||| conquérant
char	verb	to char (verb) ||| carboniser
consolidate	verb	to consolidate (verb) ||| consolider
jenever	noun	jenever (noun) ||| genièvre
examiner	noun	examiner (noun) ||| légiste
existence	noun	existence (noun) ||| existence
